"idx","name","content","raw_json"
0,"thanks","Halo Kak ..

terima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨
","{""id"":""08C668A8-9E11-4A99-8B14-A7B34D30C7CE"",""shortcut"":""thanks"",""message"":""Halo Kak ..\n\nterima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨\n"",""count"":3,""keywords"":[]}"
1,"plsatuan","Pricelist Satuan/ hari

Bantal: Rp7.000 
Guling: Rp7.000
Sprei: Rp10.000 
Bed cover: Rp20.000
Selimut: Rp10.000","{""id"":""2DFE4D4C-4406-43E1-9A7E-702AA2B71D81"",""shortcut"":""plsatuan"",""message"":""Pricelist Satuan/ hari\n\nBantal: Rp7.000 \nGuling: Rp7.000\nSprei: Rp10.000 \nBed cover: Rp20.000\nSelimut: Rp10.000"",""count"":7,""keywords"":[]}"
2,"thxreview","Selamat pagi Kak…

terima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨

jika berkenan, kami tunggu reviewnya di Google Maps 👉🏼https://share.google/RI4pi1CqYodUvD264

terima kasih banyak atas supportnya & sehat selalu😊✨","{""id"":""74ED2CEC-DA80-4976-8C38-347AD83A08A8"",""shortcut"":""thxreview"",""message"":""Selamat pagi Kak…\n\nterima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨\n\njika berkenan, kami tunggu reviewnya di Google Maps 👉🏼https://share.google/RI4pi1CqYodUvD264\n\nterima kasih banyak atas supportnya & sehat selalu😊✨"",""count"":3,""keywords"":[]}"
3,"plpaket","Pricelist Normal
Paket (Kasur Busa + Sprei + Bantal)
•⁠  ⁠Single 90 = 35.000 
•⁠  ⁠⁠Single 100 = 40.000 
•⁠  ⁠⁠Double 120 = 45.000 
•⁠  ⁠⁠Queen 160 = 55.000 
•⁠  ⁠⁠King 180 = 65.000","{""id"":""859CA133-0F7B-4BE6-8FC2-476D06DDF981"",""shortcut"":""plpaket"",""message"":""Pricelist Normal\nPaket (Kasur Busa + Sprei + Bantal)\n•⁠  ⁠Single 90 = 35.000 \n•⁠  ⁠⁠Single 100 = 40.000 \n•⁠  ⁠⁠Double 120 = 45.000 \n•⁠  ⁠⁠Queen 160 = 55.000 \n•⁠  ⁠⁠King 180 = 65.000"",""count"":1,""keywords"":[]}"
4,"gratong","Selamat …. Kak ….

terima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨

terkait potongan ongkir kemarin, program tersebut berlaku dengan review di Google Maps 😊

kami tunggu reviewnya di Google Maps 👉🏼https://share.google/RI4pi1CqYodUvD264

kalau berkenan, reviewnya bisa disertai foto ya kak, akan sangat membantu untuk kami 🙏

terima kasih banyak atas supportnya & sehat selalu ✨","{""id"":""94EBBF26-77D3-46BE-A273-E76E59051477"",""shortcut"":""gratong"",""message"":""Selamat …. Kak ….\n\nterima kasih sudah sewa di Santi Living, semoga selama pemakaian nyaman ✨\n\nterkait potongan ongkir kemarin, program tersebut berlaku dengan review di Google Maps 😊\n\nkami tunggu reviewnya di Google Maps 👉🏼https://share.google/RI4pi1CqYodUvD264\n\nkalau berkenan, reviewnya bisa disertai foto ya kak, akan sangat membantu untuk kami 🙏\n\nterima kasih banyak atas supportnya & sehat selalu ✨"",""count"":5,""keywords"":[]}"
5,"plkasursaja","Pricelist Kasur Busa Saja

•⁠  ⁠Single 90 = 25.000 
•⁠  ⁠⁠Single 100 = 30.000 
•⁠  ⁠⁠Double 120 = 35.000 
•⁠  ⁠⁠Queen 160 = 45.000 
•⁠  ⁠⁠King 180 = 55.000","{""id"":""D01F45F5-F9BD-4526-8A68-4D11D7EF1A25"",""shortcut"":""plkasursaja"",""message"":""Pricelist Kasur Busa Saja\n\n•⁠  ⁠Single 90 = 25.000 \n•⁠  ⁠⁠Single 100 = 30.000 \n•⁠  ⁠⁠Double 120 = 35.000 \n•⁠  ⁠⁠Queen 160 = 45.000 \n•⁠  ⁠⁠King 180 = 55.000"",""count"":3,""keywords"":[]}"
