"idx","chat_jid","content","created_at","modified_at","raw_json"
0,"67835401396283@lid","*Pricelist Normal*
*Paket (Kasur + Sprei + Bantal)*
- Single 90 = 35.000 
- ⁠Single 100 = 40.000 
- ⁠Double 120 = 45.000 
- ⁠Queen 160 = 55.000 
- ⁠King 180 = 65.000",1777556745,1777556746,"{""id"":""9H32+d5B1wWrrb0OdUER0/nTpJOqFT3osW7+aICgUX8="",""type"":""unstructured"",""chatJid"":""67835401396283@lid"",""content"":""*Pricelist Normal*\n*Paket (Kasur + Sprei + Bantal)*\n- Single 90 = 35.000 \n- ⁠Single 100 = 40.000 \n- ⁠Double 120 = 45.000 \n- ⁠Queen 160 = 55.000 \n- ⁠King 180 = 65.000"",""createdAt"":1777556745,""modifiedAt"":1777556746}"
1,"273821462470758@lid","sudah dp 📄 INVOICE PEMESANAN
Sewa Kasur Santi Living
by Santi Mebel Godean

Nama : Nisrina
Tanggal Kirim : 19 Maret 2026 (siang)
Tanggal Kembali : 23 Maret 2026
Durasi Sewa : 4 hari

📦 Detail Pesanan (Harga Lebaran 2026 – Paket)

Queen 160 2 pcs × Rp59.000 × 4 hari = Rp472.000

——————————————
💰 Subtotal Sewa : Rp472.000
🚚 Ongkir : Rp46.000
——————————————
💳 Total Pembayaran : *Rp518.000*",1771228670,1771228714,"{""id"":""RScVaCW3diRo16P3+Knx+S0aZapK491gTRbxFwdDm3E="",""type"":""unstructured"",""chatJid"":""273821462470758@lid"",""content"":""sudah dp 📄 INVOICE PEMESANAN\nSewa Kasur Santi Living\nby Santi Mebel Godean\n\nNama : Nisrina\nTanggal Kirim : 19 Maret 2026 (siang)\nTanggal Kembali : 23 Maret 2026\nDurasi Sewa : 4 hari\n\n📦 Detail Pesanan (Harga Lebaran 2026 – Paket)\n\nQueen 160 2 pcs × Rp59.000 × 4 hari = Rp472.000\n\n——————————————\n💰 Subtotal Sewa : Rp472.000\n🚚 Ongkir : Rp46.000\n——————————————\n💳 Total Pembayaran : *Rp518.000*"",""createdAt"":1771228670,""modifiedAt"":1771228714}"
2,"143310224130205@lid","ini ada lagi kasur 120 tapi mulai tgl 22 maret",1773933501,1773933501,"{""id"":""zUQXWCwd/20Ma2SIdrnvWseTjkncbn9ZDh3+GBTbTV0="",""type"":""unstructured"",""chatJid"":""143310224130205@lid"",""content"":""ini ada lagi kasur 120 tapi mulai tgl 22 maret"",""createdAt"":1773933501,""modifiedAt"":1773933501}"
